Name,Total Publications,Total Citations,Publications in Date Range,Citations in Date Range
Philippe Tondeur,92.0,771.0,0.0,0.0
Stephen V. Ullom,31.0,111.0,0.0,0.0
Lou van den Dries,115.0,2744.0,6.0,10.0
Paul M. Weichsel,30.0,154.0,0.0,0.0
Elliot Weinberg,11.0,73.0,0.0,0.0
Douglas B. West,257.0,3523.0,22.0,23.0
Jang-Mei Wu,73.0,513.0,2.0,4.0
Thomas E Anderson,,,,
Jayadev Athreya,41.0,301.0,11.0,27.0
Nigel Boston,63.0,412.0,8.0,3.0
Sunil Kumar Chebolu,31.0,129.0,4.0,1.0
James Glazebrook,55.0,123.0,3.0,0.0
Yevgeniy I. Gordon,,,,
Dirk Hundertmark,47.0,758.0,7.0,13.0
Ilya Kapovich,78.0,1279.0,7.0,11.0
Grant Lakeland,7.0,11.0,3.0,1.0
Chris Leininger,,,,
Ioan-Tiberiu Marcut,,,,
Yevgenya Movshovich,12.0,7.0,2.0,0.0
Hal Schenck,62.0,1252.0,11.0,23.0
Jozef Skokan,37.0,449.0,9.0,21.0
Slawomir Solecki,71.0,845.0,6.0,9.0
John M. Sullivan,42.0,472.0,0.0,0.0
Chelsea Walton,34.0,244.0,14.0,50.0
Stephen Wolfram,27.0,913.0,2.0,0.0
Wen-Bin Zhang,,,,
Total,6701.0,79217.0,703.0,1549.0
